Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference
2024-03-17;Saalbach;1;23;0.8;HAUGAN Timon;0.966;MEILLARD Loic;-0.16599999999999993;-20.74999999999999
2024-03-17;Saalbach;2;23;0.9;GINNIS AJ;0.9;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;24;0.9;HAUGAN Timon;0.866;MEILLARD Loic;0.03400000000000003;3.7777777777777812
2024-03-17;Saalbach;2;24;0.8;GINNIS AJ;0.866;AERNI Luca;-0.06599999999999995;-8.249999999999993
2024-03-17;Saalbach;1;25;0.866;HAUGAN Timon;0.866;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;25;0.866;GINNIS AJ;0.933;AERNI Luca;-0.06700000000000006;-7.736720554272525
2024-03-17;Saalbach;1;26;0.433;HAUGAN Timon;0.433;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;26;0.833;GINNIS AJ;0.766;AERNI Luca;0.06699999999999995;8.043217286914759
2024-03-17;Saalbach;1;27;0.866;HAUGAN Timon;0.866;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;27;0.833;GINNIS AJ;0.9;AERNI Luca;-0.06700000000000006;-8.043217286914773
2024-03-17;Saalbach;1;28;0.833;HAUGAN Timon;0.933;MEILLARD Loic;-0.10000000000000009;-12.004801920768319
2024-03-17;Saalbach;2;28;1.366;GINNIS AJ;1.466;AERNI Luca;-0.09999999999999987;-7.320644216691058
2024-03-17;Saalbach;1;29;0.833;HAUGAN Timon;1.1;MEILLARD Loic;-0.2670000000000001;-32.0528211284514
2024-03-17;Saalbach;2;29;0.9;GINNIS AJ;0.833;AERNI Luca;0.06700000000000006;7.444444444444451
2024-03-17;Saalbach;1;30;0.866;HAUGAN Timon;1.366;MEILLARD Loic;-0.5000000000000001;-57.73672055427254
2024-03-17;Saalbach;2;30;0.866;GINNIS AJ;0.866;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;31;0.833;HAUGAN Timon;1.1;MEILLARD Loic;-0.2670000000000001;-32.0528211284514
2024-03-17;Saalbach;2;31;0.866;GINNIS AJ;0.866;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;32;0.833;HAUGAN Timon;0.9;MEILLARD Loic;-0.06700000000000006;-8.043217286914773
2024-03-17;Saalbach;2;32;0.9;GINNIS AJ;1.0;AERNI Luca;-0.09999999999999998;-11.111111111111107
2024-03-17;Saalbach;1;33;0.9;HAUGAN Timon;0.9;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;33;0.866;GINNIS AJ;0.9;AERNI Luca;-0.03400000000000003;-3.926096997690535
2024-03-17;Saalbach;1;34;0.866;HAUGAN Timon;0.9;MEILLARD Loic;-0.03400000000000003;-3.926096997690535
2024-03-17;Saalbach;2;34;0.833;GINNIS AJ;0.9;AERNI Luca;-0.06700000000000006;-8.043217286914773
2024-03-17;Saalbach;1;35;0.9;HAUGAN Timon;0.866;MEILLARD Loic;0.03400000000000003;3.7777777777777812
