Date;Venue;Country;Course name;Course setter;Gates (#);Turning Gates (#);Start Altitude (m);Finish Altitude (m);Vertical Drop (m);Start time;Weather;Snow;Temp Start (°C);Temp Finish (°C);Run;Nation;Best;Is Fastest?;ID;total time (sec);Gate 01 (ms);Gate 02;Gate 03;Gate 04;Gate 05;Gate 06;Gate 07;Gate 08;Gate 09;Gate 10;Gate 11;Gate 12;Gate 13;Gate 14;Gate 15;Gate 16;Gate 17;Gate 18;Gate 19;Gate 20;Gate 21;Gate 22;Gate 23;Gate 24;Gate 25;Gate 26;Gate 27;Gate 28;Gate 29;Gate 30;Gate 31;Gate 32;Gate 33;Gate 34;Gate 35;Gate 36;Gate 37;Gate 38;Gate 39;Gate 40;Gate 41;Gate 42;Gate 43;Gate 44;Gate 45;Gate 46;Gate 47;Gate 48;Gate 49;Gate 50;Gate 51;Gate 52;Gate 53;Gate 54;Gate 55;Gate 56;Gate 57;Gate 58;Gate 59;Gate 60;Gate 61;Gate 62;Gate 63;Gate 64;Gate 65;Gate 66;Gate 67;Gate 68
21,01,2024;Kitzbuehel;Austria;Ganslern;VUINGIER Julien;61;60;1004;811;193;13:30;PARTLY CLOUDY;HARD;2;3;2;SUI;YULE Daniel;no;21,01,2024Kitzbuehel2SUI;50.42;1;0.833;0.866;0.8;0.433;0.933;0.933;0.866;0.866;0.9;0.866;0.866;0.6;0.933;1.033;1.033;1.133;0.933;0.9;0.9;0.9;0.9;0.466;1.033;0.933;0.866;0.733;1.3;0.833;0.8;0.4;1;1;0.933;0.966;0.866;0.9;0.866;0.466;0.933;0.866;0.9;0.833;0.766;0.366;0.466;0.733;0.7;0.766;0.8;0.466;0.933;0.933;1;0.9;0.766;0.766;0.8;0.733;;;;;;;;;
22,12,2023;Madonna;Italy;Canalone Miramonti;JORIS Matteo;60;59;1725;1545;180;20:45;PARTLY CLOUDY;COMPACT;-2;0;2;SUI;AERNI Luca;yes;22,12,2023Madonna2SUI;51.9;0.966;0.8;0.866;0.833;0.8;0.8;0.4;0.966;0.966;0.933;0.933;0.866;0.833;0.8;0.8;0.4;0.5;0.933;0.966;0.866;0.833;0.866;0.833;0.833;0.833;1.266;0.533;0.9;0.766;0.866;0.9;0.866;0.433;1;1;1.066;1.2;1.1;1.1;1.066;1.033;1.033;0.9;0.966;0.433;0.9;0.9;1.1;0.966;0.9;0.4;0.5;0.866;0.9;0.933;1.033;0.9;0.833;;;;;;;;;;
22,12,2023;Madonna;Italy;Canalone Miramonti;ENOCSON Calle;62;60;1725;1545;180;17:45;PARTLY CLOUDY;COMPACT;0;2;1;SUI;MEILLARD Loic;no;22,12,2023Madonna1SUI;48.33;0.966;0.8;0.7;0.766;0.366;0.4;0.766;0.733;0.8;0.933;0.8;0.766;0.366;0.7;0.733;0.766;0.733;0.766;0.466;0.866;0.666;0.866;0.866;0.8;0.733;0.733;0.733;0.9;1.233;0.8;0.866;0.8;0.8;0.4;0.9;0.966;1.033;1.033;0.933;1;1;0.9;0.933;0.866;0.8;0.433;0.8;0.766;1.233;0.8;0.866;0.8;0.333;0.8;0.866;0.866;0.833;0.733;0.666;;;;;;;;;
22,12,2023;Madonna;Italy;Canalone Miramonti;ENOCSON Calle;62;60;1725;1545;180;17:45;PARTLY CLOUDY;COMPACT;0;2;1;FRA;NOEL Clement;yes;22,12,2023Madonna1FRA;47.96;0.9;0.8;0.733;0.8;0.366;0.433;0.733;0.733;0.8;0.9;0.8;0.8;0.333;0.7;0.766;0.766;0.733;0.766;0.533;0.933;0.7;0.866;0.866;0.8;0.666;0.7;0.7;0.833;1.3;0.8;0.866;0.8;0.8;0.433;0.866;0.9;1.1;1.166;0.866;0.933;0.9;0.866;0.9;0.9;0.766;0.466;0.8;0.733;1.266;0.733;0.866;0.733;0.366;0.766;0.833;0.766;0.833;0.7;0.7;;;;;;;;;
22,12,2023;Madonna;Italy;Canalone Miramonti;JORIS Matteo;60;59;1725;1545;180;20:45;PARTLY CLOUDY;COMPACT;-2;0;2;GBR;RYDING Dave;no;22,12,2023Madonna2GBR;51.96;1;0.866;0.8;0.8;0.733;0.766;0.4;0.933;0.966;0.9;0.866;0.9;0.866;0.866;0.8;0.4;0.466;1;0.966;0.9;0.866;0.933;0.8;0.8;0.866;1.2;0.5;0.933;0.733;0.833;0.966;0.933;0.433;1;1;1.133;1.2;1.133;1.166;1.1;0.966;1.066;0.933;0.9;0.466;0.933;1;1;0.866;0.9;0.4;0.5;0.833;0.9;0.966;1;0.9;0.8;;;;;;;;;;
25,02,2024;Palisades Tahoe;USA;Red Dog;GRASIC Pavel;65;63;2113;1918;195;13:00;SUNNY;HARD PACKED;7;8;2;NOR;MCGRATH Atle Lie;yes;25,02,2024Palisades Tahoe2NOR;48.9;1;0.916;0.533;0.733;0.366;0.883;0.8;0.95;1;0.966;0.566;1;0.683;1.033;0.766;1.016;1.716;0.6;0.4;1.083;0.8;0.866;0.816;0.466;0.916;0.8;0.9;0.833;0.35;0.733;0.8;0.833;0.8;0.883;0.4;0.8;0.75;0.766;0.8;0.6;0.566;0.816;0.533;0.45;0.75;0.816;0.75;0.883;0.833;0.366;0.916;0.8;0.8;0.9;0.383;0.866;0.716;0.716;0.7;0.683;0.733;;;;;;;
25,02,2024;Palisades Tahoe;USA;Red Dog;GRASIC Pavel;65;63;2113;1918;195;13:00;SUNNY;HARD PACKED;7;8;2;SUI;MEILLARD Loic;no;25,02,2024Palisades Tahoe2SUI;49.33;0.983;0.933;0.516;0.8;0.45;0.933;0.7;0.916;0.916;0.933;0.516;1.033;0.683;1;0.733;0.983;1.65;0.6;0.45;0.983;0.8;0.833;0.8;0.533;0.916;0.883;0.883;0.833;0.4;0.716;0.816;0.833;0.766;0.966;0.416;0.916;0.85;0.766;0.833;0.616;0.533;1;0.483;0.483;0.866;0.816;0.8;0.916;0.866;0.35;0.866;0.833;0.883;0.85;0.4;0.866;0.766;0.766;0.683;0.733;0.65;;;;;;;
25,02,2024;Palisades Tahoe;USA;Red Dog;MEYNET Thierry;66;65;2113;1918;195;10:00;SUNNY;HARD PACKED;2;-2;1;GER;STRASSER Linus;yes;25,02,2024Palisades Tahoe1GER;51.65;0.866;0.916;0.85;0.416;0.933;0.85;0.816;0.733;0.85;0.9;0.883;0.483;1;0.883;0.916;0.716;1.033;0.85;0.966;0.95;0.95;0.366;0.916;0.8;1.083;0.65;0.766;0.8;0.833;0.633;0.733;0.383;0.966;0.916;0.983;0.833;0.416;0.883;0.716;0.8;0.766;0.7;0.433;0.4;0.816;0.816;0.833;0.833;0.85;0.716;0.933;0.783;0.366;0.883;0.75;0.8;0.8;0.65;0.833;0.8;0.766;0.4;0.75;;;;;
25,02,2024;Palisades Tahoe;USA;Red Dog;MEYNET Thierry;66;65;2113;1918;195;10:00;SUNNY;HARD PACKED;2;-2;1;SUI;YULE Daniel;no;25,02,2024Palisades Tahoe1SUI;53.2;0.916;0.883;0.883;0.516;0.916;0.85;0.866;0.716;0.95;0.816;0.916;0.533;0.983;0.916;0.95;0.7;1;0.9;1;0.816;0.916;0.466;0.933;0.85;1.116;0.7;0.75;0.85;0.8;0.65;0.75;0.433;0.916;0.883;1;0.883;0.483;0.916;0.8;0.833;0.85;0.766;0.433;0.483;0.883;0.833;0.8;0.816;0.816;0.733;0.9;0.816;0.466;0.9;0.833;0.8;0.833;0.733;0.9;0.916;0.766;0.4;0.833;;;;;
17,03,2024;Saalbach;Austria;Ulli Maier;PAGE Kevin;74;72;1279;1060;219;13:30;PARTLY CLOUDY;SPRING CONDITIONS;10;11;2;SUI;AERNI Luca;no;17,03,2024Saalbach2SUI;57.85;0.966;0.733;0.833;0.8;0.9;1.333;0.8;0.8;0.8;1.2;0.8;0.933;0.966;0.8;0.9;0.933;1.266;0.866;1.2;0.8;0.9;0.833;0.9;0.866;0.933;0.766;0.9;1.466;0.833;0.866;0.866;1;0.9;0.9;1.6;1.233;0.7;0.6;0.666;1.6;1.1;0.9;0.8;0.966;0.933;1;0.933;1.233;1.7;0.9;0.966;0.866;0.8;0.7;0.7;0.833;0.733;1.133;;;;;;;;;;
