Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference;Discipline;Race (R) or Training (TR);Gate-Gate Distance (m);Turning Angle [°];Offset [m];Steepness [°];Slope change [°];Vertical Distance [m];Altitude (m);Latitude (°);Longitude (°);Gender
2024-01-07;Adelboden;2;22;0.4;RASCHNER Dominik;0.4;MEILLARD Loic;0.0;0.0;SL;R;12.7;38.9;4.0;-19.7;-3.0;12.0;1438.256;46.4798858;7.5535653;M
2024-01-07;Adelboden;1;23;0.76;STEEN OLSEN Alexander;0.8;ZENHAEUSERN Ramon;-0.040000000000000036;-5.263157894736847;SL;R;10.38;28.97;2.36;-16.27;;;;;;M
2024-01-07;Adelboden;2;23;0.4;RASCHNER Dominik;0.4;MEILLARD Loic;0.0;0.0;SL;R;6.3;16.5;1.2;-18.6;1.1;6.2;1433.956;46.4799903;7.5536045;M
2024-01-07;Adelboden;1;24;0.86;STEEN OLSEN Alexander;0.8;ZENHAEUSERN Ramon;0.05999999999999994;6.9767441860465045;SL;R;9.53;44.56;2.2;-18.13;;;;;;M
2024-01-07;Adelboden;2;24;0.72;RASCHNER Dominik;0.7;MEILLARD Loic;0.020000000000000018;2.7777777777777803;SL;R;6.5;3.8;0.2;-14.7;3.8;6.5;1431.921;46.4800364;7.5536463;M
2024-01-07;Adelboden;1;25;1.08;STEEN OLSEN Alexander;1.02;ZENHAEUSERN Ramon;0.06000000000000005;5.55555555555556;SL;R;4.57;4.24;0.22;-17.49;;;;;;M
2024-01-07;Adelboden;2;25;0.72;RASCHNER Dominik;0.74;MEILLARD Loic;-0.020000000000000018;-2.7777777777777803;SL;R;10.3;6.6;0.4;-13.0;1.6;10.3;1430.263;46.4800847;7.5536893;M
2024-01-07;Adelboden;1;26;0.76;STEEN OLSEN Alexander;0.72;ZENHAEUSERN Ramon;0.040000000000000036;5.263157894736847;SL;R;9.43;29.39;2.36;-16.2;;;;;;M
2024-01-07;Adelboden;2;26;0.74;RASCHNER Dominik;0.74;MEILLARD Loic;0.0;0.0;SL;R;11.7;17.8;1.7;-7.6;5.4;11.6;1427.917;46.4801561;7.5537708;M
2024-01-07;Adelboden;1;27;0.7;STEEN OLSEN Alexander;0.72;ZENHAEUSERN Ramon;-0.020000000000000018;-2.85714285714286;SL;R;9.95;24.31;2.06;-14.32;;;;;;M
2024-01-07;Adelboden;2;27;0.8;RASCHNER Dominik;0.8;MEILLARD Loic;0.0;0.0;SL;R;11.1;17.8;1.7;-3.1;4.5;11.0;1426.355;46.480254;7.5538251;M
2024-01-07;Adelboden;1;28;0.4;STEEN OLSEN Alexander;0.42;ZENHAEUSERN Ramon;-0.019999999999999962;-4.99999999999999;SL;R;10.13;28.47;2.46;-9.41;;;;;;M
2024-01-07;Adelboden;2;28;0.68;RASCHNER Dominik;0.68;MEILLARD Loic;0.0;0.0;SL;R;11.2;34.3;3.3;-11.4;-8.3;10.7;1425.751;46.4803327;7.5539152;M
2024-01-07;Adelboden;1;29;0.44;STEEN OLSEN Alexander;0.46;ZENHAEUSERN Ramon;-0.020000000000000018;-4.545454545454549;SL;R;10.13;15.5;1.03;-9.64;;;;;;M
2024-01-07;Adelboden;2;29;0.8;RASCHNER Dominik;0.8;MEILLARD Loic;0.0;0.0;SL;R;9.3;21.3;1.8;-13.8;-2.4;9.1;1423.527;46.4804314;7.553927;M
2024-01-07;Adelboden;1;30;0.76;STEEN OLSEN Alexander;0.72;ZENHAEUSERN Ramon;0.040000000000000036;5.263157894736847;SL;R;6.18;0.44;0.02;-3.7;;;;;;M
2024-01-07;Adelboden;2;30;0.9;RASCHNER Dominik;0.9;MEILLARD Loic;0.0;0.0;SL;R;11.6;20.3;1.8;-9.9;3.9;11.5;1421.276;46.4805047;7.5539798;M
2024-01-07;Adelboden;1;31;0.72;STEEN OLSEN Alexander;0.78;ZENHAEUSERN Ramon;-0.06000000000000005;-8.333333333333341;SL;R;6.24;10.86;0.69;-5.4;;;;;;M
2024-01-07;Adelboden;2;31;0.98;RASCHNER Dominik;0.86;MEILLARD Loic;0.12;12.244897959183673;SL;R;12.4;14.8;1.5;-5.8;4.0;12.3;1419.263;46.4806077;7.5539955;M
2024-01-07;Adelboden;1;32;0.72;STEEN OLSEN Alexander;0.7;ZENHAEUSERN Ramon;0.020000000000000018;2.7777777777777803;SL;R;8.85;14.38;1.15;-10.19;;;;;;M
2024-01-07;Adelboden;2;32;1.04;RASCHNER Dominik;1.0;MEILLARD Loic;0.040000000000000036;3.8461538461538494;SL;R;12.0;25.9;2.7;-12.8;-6.9;11.7;1417.996;46.480712;7.5540516;M
2024-01-07;Adelboden;1;33;0.74;STEEN OLSEN Alexander;0.74;ZENHAEUSERN Ramon;0.0;0.0;SL;R;10.0;27.56;2.37;-14.68;;;;;;M
2024-01-07;Adelboden;2;33;1.02;RASCHNER Dominik;0.96;MEILLARD Loic;0.06000000000000005;5.8823529411764754;SL;R;11.9;40.3;4.1;-12.9;-0.1;11.2;1415.329;46.4808172;7.5540384;M
2024-01-07;Adelboden;1;34;0.82;STEEN OLSEN Alexander;0.8;ZENHAEUSERN Ramon;0.019999999999999907;2.4390243902438913;SL;R;10.39;14.47;1.28;-7.4;;;;;;M
2024-01-07;Adelboden;2;34;1.02;RASCHNER Dominik;0.98;MEILLARD Loic;0.040000000000000036;3.921568627450984;SL;R;11.6;37.6;3.8;-19.3;-6.3;11.0;1412.65;46.4809017;7.5541288;M
